Title,URL,Address,Compensation,Employment Type,Description
Desktop Support/System Administrator for Growing Managed IT Services C,https://sfbay.craigslist.org/sfc/sad/d/desktop-support-system/6627278220.html,1485 Bayshore Blvd,BOE,full-time,"Centarus Inc. is a cutting edge Managed Service Provider located in San Francisco primarily serving clients in the Bay Area and their remote offices. It is our passion to provide proactive and top-notch IT Support to small and medium size businesses. We follow a structured methodology in serving our clients which leads to exceptional results! We are looking for an outstanding IT Consultant to join our team to learn about our process and join us in our passion in delivering solid technology solutions to SMBs.

General Summary of Position
Our Field Technician is responsible for handling first or second level support requests both at client sites (primarily in San Francisco, Oakland, and San Mateo) and remotely from our San Francisco office. This position relates to all technology, to include: desktops, servers, printers, networks, firewalls, and vendor specific hardware and various application & cloud software solutions. 

Essential Duties and Responsibilities:
Provide best --in-class IT Support involving Microsoft's core business applications and Operating Systems to end users
Mac OSX skillset is also desired
Support of disaster recovery solutions
Technical support at the network level: LAN and WAN connectivity, routers, firewalls, and security
Remote access solution implementation and support: VPN and Terminal Services
Work with team to manage & follow-up on system alerts and notifications, and respond accordingly through service tickets
System documentation, maintenance, and review in our customer management system (Connectwise)
Excellent Communication with customers as (onsite & remote) as required: keeping clients informed if incident progresses, notifying them of impending changes or agreed outages
Work with team to seek opportunities to improve knowledge, skills, and performance

Additional Duties and Responsibilities:
Strong Customer service skills
Ability to work in a team and communicate effectively
Escalate service requests that require higher engineer level support
Responsible for entering time and expenses daily in ConnectWise
Ongoing training & self-education in ConnectWise and other tools that we use as an MSP, interest to learn new technologies as the industry evolves

Knowledge, Skills, and or Abilities Required: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and or/ability required
Advanced understanding of operating systems, client/server & SAAS solutions, network & printing solutions
Interpersonal skills: exceptional phone support, excellent written and verbal skills, active listening, and customer-care
Diagnosis skills of technical issues
Ability to multi-task and adapt to changes quickly
Technical awareness: ability to match resources to technical issues appropriately
Service Awareness of all organization's key IT services & solutions for which support is being provided
Understanding of support tools, techniques, and how technology is used to provide IT services
Self- motivated with the ability to work in a fast moving environment
Relevant Certifications from Microsoft are a plus
Minimum of 3+ years of experience in this type of role.

** Reliable Car for Travel to Client Sites (please present proof of registration at Interview)
** Clean background (background check will be done)

Compensation
Competitive salary, depending on experience Salary is negotiable
probationary status for the first 90 days
PTO, Retirement Plan, Company phone reimbursement, Health Benefits Included after 90 days of hire, no dental"
Front Desk Receptionist,https://sfbay.craigslist.org/sfc/ofc/d/front-desk-receptionist/6627493109.html,financial district,DOE,full-time,"The Receptionist position is the face of our Firm, both professional in appearance and works proficiently while servicing our clients and staff to Executive levels.  Serves visitors by greeting, welcoming, and directing them appropriately; notifies Firm personnel of visitor arrival; maintains security and telecommunications system.  Provides full administrative support to our Client Service Professionals and our Firm Administrator as well as an integral member of the Firm's administration team. 

The position requires advanced level skills in Microsoft Outlook, intermediate level skills/knowledge in Microsoft Word, Excel as well as experience with general office support, scanning, photocopying, and receptionist coverage.  Additional software utilized in the role: Project Tracking, Engagement, and Sharefile.

Reporting Relationship

This position reports to the Firm Administrator and CFO/COO.

Responsibilities

•	Serves visitors by greeting, welcoming, and directing them professionally and efficiently; notifies Firm personnel of visitor arrival, answering or referring inquiries
•	Answers central phone in a professionally and efficiently using Firm greeting protocol, and transfers calls to Firm personal 
•	Maintains security by following procedures; issues employee and guest key cards.
•	Maintains safe and clean reception, conference  and main work room area s
•	Prepares and tracks outgoing mail; including courier and other overnight mail services
•	Supports all departments out-going mailings, such as marketing, billings, confirmations, etc.
•	Sorts, announces and distributes incoming mail and packages
•	Manages conference room/related Firm calendars, schedule and coordinate meetings/ appointments.  Provides meeting coordination, conference calls, and WebEx meetings including: reserving conference rooms, e-mail invites to meeting participants, handouts, procurement of audio/visual aids, setup/clean up, and food and beverage service
•	Assists with lunchroom and office supply orders and stocks office supplies as received
•	Reports facility janitorial and engineer assistance following Property Management procedures
•	Maintains and tracks Partner parking key card
•	Maintains and updates Guest/Visitors electronic log
•	Forwards incoming faxes electronically to Firm personnel
•	Assists with coordination of vendor services, such as water and shred bins, for all offices
•	Assists with office lunchroom and office supply orders following Firm guidelines and preferred vendors
•	Orders food following Firm guidelines and preferred vendors
•	Opens office daily for business following Firm procedures
•	Duplicates and distributes materials, as requested
•	Electronically uploads client data/tax returns to client portal
•	Scans TRGS (tax return guide sheet) and efile acceptance documentation and saves into the electronic fileroom  in accordance with the department's workpaper index
•	Prepares various Firm invitations and announcements
•	Maintains accurate personnel phone lists for all databases

Additional responsibilities may include

•	Preparation of various correspondence
•	Attend Firm events, trainings, client meets, client events  to provide setup/breakdown/ cleanup/ or any other assistance required
•	Pickup food/supply orders from retail vendors


Knowledge, Skills and Abilities

•	Professional demeanor
•	Above average technical, analytical and problem solving abilities
•	Attention to detail
•	Exceptional time management skills
•	Strong written and verbal communication skills
•	Outstanding organizational skills
•	Ability to manage multiple priorities and work towards deadlines
•	Excellent interpersonal skills and flexibility
•	Experience and judgment to plan and accomplish goals
•	Ability to work independently and within a team
•	Ability to work well with all levels of internal management and staff, as well as clients and vendors
•	Intermediate level skills in Microsoft Word, Excel, and advanced skills in Outlook
•	Experience with general office support, scanning, photocopying and receptionist coverage

Minimum Qualifications

•	2-3 years of receptionist experience; professional services experience
•	Intermediate level skills in Microsoft  Word, Excel, and advanced skills in Outlook

Job Location and Travel Requirements
The position is located in the Firm's San Francisco office and may require occasional one-day travel to the Firm's other offices for training.


Please email your resume to Careers@squarmilner.com"
Project Manager/Field Engineer; Structural Steel Construction Co.,https://sfbay.craigslist.org/sfc/egr/d/project-manager-field/6620270620.html,bayview,Competitive compensation based on experience,full-time,"San Francisco based Structural Steel Construction Company has an opening for Project Managers and Field Engineers. Our company specializes in structural steel, steel stairs and architectural/ornamental fabrications and erections in the bay area. 

For Project Manager-

Duties Include (but not limited to):
- Review contracts, create schedule of values, and oversee progress invoicing 
- Coordinate steel detailing, surveying, coordinate submittals and check drawings
- Set production and fabrication schedule, order materials and inspections as required
- Work with contractor, trades, inspectors, engineers, detailers, superintendents and foreman to ensure project is progressing smoothly
- Maintain positive client relationships and communicate effectively between all parties involved in project


Ideal Candidates Will Have: 
- 3-5 years of experience in the steel fabrication and erection industry
- Civil or Mechanical Engineering background, but not required
- Experience with Microsoft Office software and email communication
- Candidate who also speaks Mandarin or Cantonese
- Candidates with Civil Engineering or Mechanical Engineering degrees (even in other construction trades) are highly encouraged to apply.
- Looking for a long-term position

----------------------------------------------------------------------------------------------------------


For Field Engineer/Project Coordinator-

Duties Include (but not limited to):
- Responsible to work closely with Project Managers for project planning, tracking progress, reporting and communicating regular status to the management team
- Work with General Contractor, trades, inspectors, engineers, detailers, superintendents, foreman, and field crew to ensure project is progressing smoothly
- Maintain positive client relationships and communicate effectively between all parties involved in project including: General Contractor, Project Manager, Production Manager, and other Trades


Qualifications:
- Candidates with Structural or Civil Engineering degrees are highly encouraged to apply. 
-  0-2 years of experience in the steel fabrication and erection industry
- Candidate who also speaks Mandarin or Cantonese
- Strong organizational and management skills. 
- Excellent communication skills, both written and verbal. 
- Ability to multitask. 


Interviews are conducted on a on-going basis; position remains open until filled."
Entry Level Engineer,https://sfbay.craigslist.org/sfc/egr/d/entry-level-engineer/6621110630.html,bayview,Salary commensurate to Experience,full-time,"San Francisco based construction company hiring entry-level engineers.

Essential Job Functions:
•	Review and understand plans and specifications.
•	Accurate quantity take off of plans.
•	Assist lead estimators in submitting proposals
•	Effective support of project management



Desired Skills and Abilities:
•	Organizational and communication skills.
•	Ability to read and understand construction drawings and specifications.
•	Proficiency with project management, scheduling software and other software.
•	Microsoft Word/Excel/Project, Google Drive, Blue Beam.
•	Ability to develop spreadsheets, meeting agendas, meeting minutes, project schedules, daily logs, track project budgets.
•	Clear communication with architects, engineers, designers, subcontractors, and employees. 
•	Energetic, outgoing, Self-motivated, Self-learner, resourceful, personable, and responsible.


Minimum Requirements
•	Bachelors Degree in Engineering or Construction Management


Compensation and Benefits.
•	Competitive compensation.
•	Salary commensurate to performance.
•	Medical, 401K, etc."
Senior IOS Engineer (AP1460),https://sfbay.craigslist.org/sfc/sof/d/senior-ios-engineer-ap1460/6621270154.html,,DOE,contract,"Senior IOS Engineer- Duration: One Year (12 Months Long Term Contract -with Potential to Hire Full time after 12 months)
Our client is ONE OF THE MOST SOUGHT AFTER EMPLOYERS in the San Francisco Bay Area!! They are looking for Senior IOS Engineers.

Objective C /Swift
Job Description

Our client's Mobile developers play a key role in the defining the future of their platform. They are focused on innovation within their app, rapidly improving both the technical foundation and the user interface. They are looking for developers who are passionate about developing scalable, well-designed software that improves people's lives globally.
Hands on experience with complex UI treatments. Experience with manual layout.

Responsibilities:
•	Work closely with product and design teams to customize user experience for the iOS platform
•	Implement custom native user interfaces using the latest iOS programming techniques
•	Build reusable iOS software components for interfacing with their platform
•	Analyze and optimize UI and back-end application code for efficiency and performance

Requirements:
•	5+ years of relevant experience
•	Ability to understand and debug large and complex code bases
•	Experience designing clean and maintainable APIs
•	Experience with multithreading programming
•	Experience writing unit tests and testable code
•	Knowledge of iOS SDK performance tools and optimization techniques
•	Excellent problem solving, critical thinking and communication skills

Preferred:
•	BS or higher in Computer Science or other technical discipline

Location: San Francisco, CA
Duration: One Year (12 Months Long Term Contract -with Potential to Hire Full time after 12 months)
Job Code: AP1460

Akvelon is Puget Sound's premier Employment Consulting Agency, founded in 2000 and voted one of Puget Sound Business Journal's fastest growing companies 6 years in a row. We are a growing company with a dynamic atmosphere, committed to offering our employees challenging and rewarding projects with major clients within the Northwest and beyond.

Akvelon is an Equal Opportunity Employer - All qualified applicants will receive consideration. We do not discriminate on the basis of race, color, religion, gender, national origin, age, disability, veteran status, or any other factor determined to be unlawful under applicable law."
Project Manager / Senior Architectural CAD Drafter,https://sfbay.craigslist.org/sfc/egr/d/project-manager-senior/6621981806.html,,Compensation to be commensurate with experience and qualifications.,full-time,"Career Opportunity - Project Manager / Senior Architectural CAD Drafter

Farrell Faber & Associates, Inc. is seeking a motivated career minded individual to join our team in the role of Project Manager / Senior CAD Drafter.  This key team member will be responsible for planning, organizing, leading and managing projects as well as CAD drafting of single-family and multi-family residential and mixed-use projects.  He or she is directly responsible to the quality of work performed, client service, utilization of staff and the reputation of the firm.  

This is an excellent career opportunity to join a firm poised for significant growth due to new patented construction technology.  Farrell Faber has an excellent reputation spanning decades and in keeping with high demand, has developed new construction technology designed to build faster and more cost-effective affordable homes.  This technology adds to our offering with the long standing high-end custom home reputation of the company.  

Additional company information available at: www.farrellfaber.com

Qualified candidates must have the following professional experience, technical skills and qualifications. 

Qualifications:
•	Strong leadership, communication and relationship-building skills
•	Ability to effectively lead a project team
•	Collaborate with project design team lead during the programming, planning, and feasibility analysis phase of project as requested
•	Display willingness to make decisions; exhibit sound and accurate judgement; support and explain reasoning for decisions; include appropriate staff in decision-making process to make timely decisions
•	Be organized, flexible, track project status, evaluate issues and take corrective actions
•	Excellent language skills and grammar accuracy
•	Pay attention to detail with emphasis on accuracy and quality
•	Balance multiple projects and deadlines
•	Strong analytical, oral and written communication skills with the ability to build quick rapport with all levels of employees, clients, consultants and vendors. 
•	Ability to professionally communicate and delegate respectfully both verbally and in writing to give assignments to co-workers, consultants, vendors and engineers
•	Collaborate with appropriate staff to meet goals and objectives of project
•	Coach, mentor, and provide performance-enhancing feedback of assigned team members
•	Support Senior Project Manager and/or Principal in supervision and delegation of work
•	Must be friendly, fun and a team-player

Professional Experience & Technical Skills:
•	Minimum 5-years of professional experience, including architectural CAD drafting.
•	Thorough knowledge of architectural design, drafting, detailing, building materials, CA building codes and construction techniques
•	Single-family residential, low and mid-rise multi-family residential, podium and/or mixed-use project experience preferred
•	Intermediate knowledge of project management software
•	Coordinate with government agencies, utility companies, and resolve plan check and approval issues with all governing agencies that have jurisdictional authority over the project 
•	Microsoft Office, Outlook and Adobe Creative Suite experience 

Minimum Required Education: Associate's Degree and/or relevant experience

Job Type: Full-time

Compensation to be commensurate with experience and qualifications.  We are considering local candidates only, or be willing to relocate.  Please send cover letter, resume and samples of related work."
Senior Data Engineer,https://sfbay.craigslist.org/sfc/egr/d/senior-data-engineer/6622411927.html,San Francisco,"$130,000-$140,000",full-time,"Scion Technical is looking for talented Senior Data Engineers for our client, a successful nationwide software company! This company offers INCREDIBLE work/life balance, flexibly, and an overall positive work environment. These positions are full-time, for immediate hire, and located in San Francisco, CA; Durham, NC; Austin, TX; and more. If you are seeking an opportunity for professional growth at an innovative software company with a close-knit team, this role is for you!

What You Will Need:
-A positive attitude and desire to work on large-scale distributed systems
-Fluency in Java, C++, or Go
-Extensive experience in distributed systems
-Experience with Kafka, Cassandra, ZooKeeper or Dropwizard
-Comfortable with, and strong knowledge of NoSQL datastores and REST APIs
-Passion for cloud technologies and AWS
-Ability to work in US without sponsorship

This Position Has the Pleasure Of:
-Developing integral backend architecture for cloud applications
-Working on large-scale distributed systems in a high production, big data environment
-Building metrics and monitoring solutions for successful, innovative products
-Liaisoning with the company's headquarter staff and working as a team
-Holding a Senior level title if you bring the proven experience
-Room for professional growth and recognition in an expanding successful entity
-Developing significant data or analytics features/services
-Proposing and implementing process improvements to advance the engineering team
-Coaching and mentoring fellow engineers while recommending best practices and tools where possible

Salary, Benefits & Perks:
This position offers a very competitive base salary ($120,000- $140,000 DOE), incredible healthcare for individual and family, stock options, 401k, unlimited PTO and a company and mission that is truly rare! This opportunity also offers incredible work/life balance, an awesome office atmosphere, and a very flexible schedule! Contact Scion Technical today for more information by submitting your resume to this posting. We look forward to reviewing your background and discussing this exciting position further!

About Our Firm:
Scion Staffing is an award winning staffing firm headquartered in San Francisco, CA. Over the past few years, our firm has had the pleasure of successfully assisting hundreds of local employers. No matter the requisition or size, our track record and recruitment prowess has made us one of the top recruitment firms in California. Information about our firm and successes can be found online at www.scionstaffing.com.

Scion Staffing, Inc. is an equal opportunity employer and service provider committed to not discriminate on the basis of race, religion, gender, gender identity, national origin, citizenship status, sexual orientation, disability, political affiliation or belief. We are committed to the principles of Equal Opportunity Employment and are dedicated to making employment decisions based on merit and value, for ourselves, our client companies, and for the candidates we represent.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applications with arrest and conviction records."
Computer Vision/Facial Recognition Engineer * No C2C*,https://sfbay.craigslist.org/sfc/sof/d/computer-vision-facial/6622894286.html,Meridian,DOE,full-time,"We are looking for an exceptional programmer to join our core team in SF.

Requirements: 
Experience writing fast, advanced 2D/3D computer vision software 
Strong C++ and Python programming skills 
Practical experience with deep learning frameworks 
Strong object oriented programming skills 
Experience with solving large scale numerical optimization problems 
Experience with rendering or image processing algorithms 
B.S/ B.E / MS or PhD degree in Computer Science or related

Plus: 
Experience with facial detection and tracking, facial capture 
Knowledge of SLAM or bundle adjustment 
Experience programming in Unity or Unreal engine 
5 years industry experience"
Android OS/Firmware,https://sfbay.craigslist.org/sfc/sof/d/android-os-firmware/6622898547.html,,DOE,full-time,"As Software Engineer - Android OS/Firmware, you will build the technology to support millions of customers worldwide.  Your primary focus will be our Android firmware and operating system security, working with major OEMs worldwide to improve compatibility and security.  

Required Qualifications
●      Degree in Computer Science from a top CS university or previous employment at a top technology company
●      3+ years of low-level software development experience with firmware  / linux / embedded systems / OS architecture
●      1+ year Android OS/firmware experience, including Android (AOSP), ROMs, file system partitions, device drivers, bootloader, flashing ROMs, Android linux components

Desirable Qualifications
●      Experience in mobile security (MITM attacks; code obfuscation); network engineering; benchmarking and optimization
●      Experience in Android UI design patterns and best practices
●      Experienced in Git, SQL

Responsibilities
●     Implement Android features, and troubleshoot live Android bugs affecting user experience, client-server communication, and security, to help us scale to millions of customers.
●      Additionally, design and implement major components of our web and mobile apps, data analysis, and integrations.
●      Support internal business teams and customer-facing operations to deliver world-class user experience and reliability.
●      Provide guidance and mentorship to less experienced team members."
Senior Site Reliability Engineer,https://sfbay.craigslist.org/sfc/sof/d/senior-site-reliability/6623340180.html,,DOE,full-time,"A strong background in Linux software development
Strong understanding of microservices in a highly available production environment
Passion for resolving reliability issues of large scale complex systems and identifying strategies to mitigate issues going forward
Strong skills in process, documentation, and change management
BS in Computer Science or equivalent experience
5+ years of engineering discipline: Building, Supporting and Scaling Infrastructure to the cloud, leveraging various Micro-Service strategies and tools
Deep AWS knowledge: experience in deploying AWS via Terraform instrumentation, and an understanding of the CI/DC process using Travis, etc
Experience with Amazon WebServices, with knowledge of Autoscaling, ELB, ElastiCache, Kinesis, Lambda, ECS, RDS, S3
Ability to code/script automation in at least one language (Java, Go, Python, Ruby, etc.) on Linux-based platforms
Understanding of the SDLC process leveraging Git, Travis and JIRA
Familiarity with big data technologies and security engineering preferred.
Familiarity with Docker and kubernetes is a plus"
Infrastructure Engineer,https://sfbay.craigslist.org/sfc/sof/d/infrastructure-engineer/6623339904.html,,DOE,full-time,"You have experience with one or more of the following:
Configuring and administering Containers / Docker / Kubernetes.
Installing, configuring, and administering some of the following: Hadoop / Hive / HDFS, RabbitMQ, Kafka, Memcached, Redis, PostgreSQL
Configuring and administering VPN connections with external partners using software like strongSwan.
You have proficiency with shell scripting and one or more scripting languages (Python preferred).
You have experience with on-call (SRE style) rotation, both as a member and as someone who has improved the processes themselves.
You enjoy working in a fast-paced, informal, and rapidly changing environment where the bar for performance is set high.
You communicate well and enjoy working with people who are passionate about clean code
You want to make a difference in the world."
Technical Lead - Tools Group,https://sfbay.craigslist.org/sfc/sof/d/technical-lead-tools-group/6623990849.html,SOMA / south beach,Competitive. DOE,full-time,"High Fidelity is hiring an experienced engineer to support the development of system creator tools and the points of interface we provide between our platform and 3rd party developer tools.

High Fidelity is an open source virtual reality platform. The platform's success is predicated on creators being able to import existing 3D assets, use those assets to build rich visual environments, and add scripted behavior to those spaces to create engaging experiences.

The successful candidate will have experience building end-user facing interfaces, familiarity with best-in-breed solutions for creating and manipulating visual assets in a 3D space, and an appreciation for the standards and services that will make High Fidelity appealing to developers.

The role will include management of a team of 4-5 engineers and coordination with a dedicated QA resource and product manager.

Preferred Experience
-C++ fluency
-Experience with large multi-component systems development
-Experience with interface design
-Background in tools and creator applications
-Experience with Github or similar version control paradigm
-Small team Management experience

High Fidelity has approximately 60 employees working in engineering, product management, and customer development. We are a close knit group focused on building a genuinely free and permissionless solution for virtual reality. Our main office is located in the west SOMA neighborhood of San Francisco, near BART and Caltrain and we will be opening a location in Seattle this summer. We'd love to learn more about your experience and how you can make our project a success.

Apply Here:"
Construction Estimator,https://sfbay.craigslist.org/sfc/egr/d/construction-estimator/6623963132.html,downtown / civic / van ness,"Competitive compensation, commensurate with experience",full-time,"• Are you a self-starter with inherent leadership capabilities?
• Do numbers come as easily to you as your ability to command a room?
• Are you an exceptional communicator, who demonstrates efficient and effective follow-through?
• Do you ask questions, source solutions, and navigate problems without being asked?
• Are you a systematic construction professional with a proven track record for successful project management?

If you answered yes, we want to talk to you!!

The Company
For 35 years, Saarman Construction, Ltd. has been a recognized leader in the reconstruction, restoration and improvement of existing and occupied communities in Northern California. With more than 200 employees, Saarman is well equipped to handle anything from small touch-up jobs to multimillion-dollar overhauls. We provide our clients with the same commitment to the highest level of workmanship by maintaining our focus on the basics; quality - integrity - certainty!

The Role
Saarman Construction, Ltd. is seeking a seasoned construction Estimator to join our team. Estimators prepare estimates ranging from conceptual to detailed estimating. They attend pre-bid jobsite meetings, prepare preliminary construction schedules, RFIs, RFQs, and other project documents. Estimators perform quantity take-off and develop estimates. They provide project management support to the Operations team and attend trade shows and other sales events. They take ownership of their projects, implement innovative ideas, and are accountable for themselves and their projects. They must demonstrate a mastery of construction knowledge and provide mentorship to those around them.

The Qualifications
• Bachelor's degree or technical institute degree
• 3 to 5+ years in commercial construction and estimating experience
• Advanced desktop publishing, estimating and scheduling software skills
• Experience in building envelope repairs
• Field experience (recommended)
• Able to read, understand and interpret drawings and specifications
• Able to manage multiple projects at one time
• Self-directed with a high level of initiative
• Able to successfully work within a team
• Excellent verbal and written communication skills
• Committed to delivering outstanding customer service and quality work

The Benefits
• Competitive compensation, commensurate with experience
• PTO (after 90 days of employment)
• 401K retirement plan (after 90 days of employment)
• 9 paid holidays per year
• Medical, dental, vision and life insurance (after 90 days of employment)
• Smartphone or phone cost reimbursement
• Usage of company cars or Uber service while travelling to and from jobsites
• Clipper Direct commuter discount program

To Apply
Please email your resume and cover letter in pdf format with ""Estimator for Saarman"" as the subject line. In your cover letter, please answer the following questions:
• Question 1: What interests you in being an Estimator for Saarman?
• Question 2: What types of projects does Saarman work on?

To learn more about us, please visit our website at ."
Construction Assistant Estimator,https://sfbay.craigslist.org/sfc/egr/d/construction-assistant/6623965869.html,downtown / civic / van ness,"Competitive compensation, commensurate with experience",full-time,"• Are you a self-starter who works well on a team?
• Are you an exceptional communicator, who demonstrates efficient and effective follow-through?
• Do you ask questions, source solutions, and navigate problems without being asked?
• Do you have a passion for construction backed by experience?

If you answered yes, we want to talk to you!!

The Company
For 35 years, Saarman Construction, Ltd. has been a recognized leader in the reconstruction, restoration and improvement of existing and occupied communities in Northern California. With more than 200 employees, Saarman is well equipped to handle anything from small touch-up jobs to multimillion-dollar overhauls. We provide our clients with the same commitment to the highest level of workmanship by maintaining our focus on the basics; quality - integrity - certainty!

The Role
Saarman Construction, Ltd. is seeking a construction Assistant Estimator to join our team. Working directly with seasoned Estimators, Assistant Estimators help prepare estimates ranging from conceptual to detailed estimating. They help prepare for pre-bid jobsite meetings, prepare preliminary construction schedules, RFIs, RFQs, and other project documents. Assistant Estimators perform quantity take-off and assist developing estimates. They occasionally provide project management support to the Operations team and attend trade shows and other sales events. They carefully maintain and cultivate relationships with vendors. They take ownership of their tasks, implement innovative ideas, and are accountable for themselves and their projects.

The Qualifications
• Bachelor's degree or technical institute degree (recommended)
• 1 to 3 years in commercial construction and estimating experience (recommended)
• Proficient desktop publishing, estimating and scheduling software skills
• Able to read, understand and interpret drawings and specifications
• Able to manage multiple projects at one time
• Self-directed with a high level of initiative
• Able to successfully work within a team
• Excellent verbal and written communication skills
• Committed to delivering outstanding customer service and quality work

The Benefits
• Competitive compensation, commensurate with experience
• PTO (after 90 days of employment)
• 401K retirement plan (after 90 days of employment)
• 9 paid holidays per year
• Medical, dental, vision and life insurance (after 90 days of employment)
• Smartphone or phone cost reimbursement
• Usage of company cars or Uber service while travelling to and from jobsites
• Clipper Direct commuter discount program

To Apply
Please email your resume and cover letter in pdf format with ""Assistant Estimator for Saarman"" as the subject line. In your cover letter, please answer the following questions:
• Question 1: What interests you in being an Assistant Estimator for Saarman?
• Question 2: What types of projects does Saarman work on?

To learn more about us, please visit our website at ."
Senior Content Developer,https://sfbay.craigslist.org/sfc/sof/d/senior-content-developer/6623988404.html,SOMA / south beach,Competitive. DOE,full-time,"High Fidelity is hiring an engineer with experience in Javascript and interactive content to develop features for the High Fidelity community.

Our current priority is creating engaging social VR experiences that demonstrate the full capabilities of the platform with the expectation that other developers will build on the success of our creations. The successful content developer will push the capabilities of the platform building for experiences for thousands of concurrent users. Experience working with game engines or web libraries to develop content for simulations, games, or immersive technology is required.

High Fidelity offers a wide variety of capabilities to explore and exploit: high performance networking with low latency requirements using connectionless protocols and dynamic broadcast trees; 3D audio, including live mixing and room reflections; head, body, and hand tracking hardware API's; Physics engines; high-end 3D rendering, including complex character avatars with both dynamic and offline lighting. We are also continuing to develop the social tools and capabilities required for our user community to grow. The Content team at High Fidelity is focused on using these features to inspire and delight new users and creators.

Preferred Experience
-Comfortable working with Javascript
-Experience with game engines or developing content within a 3D environment

Bonus Points
-Strong 3D math skills
-Understanding of C++
-Experience building for virtual or augmented reality platforms

High Fidelity is a San Francisco-based company working on Virtual Reality (VR) technology.

The company has developed an open-source application for building and deploying virtual environments (domains) to desktop and server computers. The virtual domains are designed to be social and interactive, meaning they allow for the real-time addition, rearrangement, and gross modification of 3D assets in a hosted environment being used simultaneously by multiple users. Our goal is to deploy an open, flexible platform for a variety of VR applications rather than a specific, narrow VR experience.

Apply Here:"
Senior Hadoop Engineer (ONLY FULL TIME/MUST HAVE 2+ YEARS WITH SPARK),https://sfbay.craigslist.org/sfc/sof/d/senior-hadoop-engineer-only/6626544625.html,San Mateo,Flexible depending on experience,full-time,"Are you passionate about Big Data? Ready to utilize your extensive experience in Spark and Hadoop stack to solve Fortune 500 clients, data and identity needs? This is a phenomenal opportunity for you to build smart, scalable systems using Hadoop stack technologies alongside top notch engineers. We are working on new wave technology that allows us to make decisions and predict the future with data! If this sounds like a dream come true to you, we saved you a seat on our team. We know you'll be an amazing addition. 

About US
We are the leading digital identity company, building patented cross-device technology that fundamentally changes the way brands connect with people. We use large-scale AI and machine learning technologies to build democratized solutions for consumer-friendly identity. Our technology is driving the intersect between mar-tech and other categories with applications including advertising, personalization, content management, product recommendations, authentication, and risk detection. We're headquartered in Silicon Valley, backed by Sequoia Capital, Kleiner Perkins Caufield Byers, and Northgate Capital, and have been listed on CNBC's annual Disruptor 50 list of groundbreaking companies twice, named one of Fortune's 50 Companies Leading the AI Revolution, and has been included on the Inc. 500 list of fastest growing companies in America for two consecutive years. 

What You'll Do
Push the envelope. You will innovate and build scalable data systems using Hadoop technologies.
Be our Technical Design Guru. You will impact the design of new platform features in terms of data models and workflows.
Keep us lean. You will influence how we code by setting best practices for writing efficient and maintainable code.

What You Bring to the Table
Big data Expert.  You will use your expertise in Hadoop/Spark to successfully design architecture and development with large sets of data.
Ability to look ""under the hood"". System level understanding of Hadoop to find bottlenecks and innovate code.
Curiosity. You have a keen interest in understanding big data technologies and using them efficiently.

What's In It For You
Contribute to a fast-paced, high-growth company that will challenge you, and which was recently featured in Forbes, Fortune, TechCrunch, and AdWeek.
Get rewarded with competitive pay, benefits, and pre-IPO stock options.
Work with fun, intelligent people in a great work environment.
Medical (PPO and HMO options), dental, and vision coverage.
Flexible Spending Account (FSA) benefit.
Life and disability insurance.
401K savings plan.
Attractive vacation, sick, health, and holiday benefits.
An excellent work culture of fun, respectful, open minds, diversity, and teamwork.

Our ""X"" Factor 
What sets us apart is an authentic sense of community. We actually like hanging out together, whether we're working to move the company forward, or getting to know each other a little better - in and out of the office. Our culture makes us excited to come to work, and we know that this strength helps us attract talented individuals who go above and beyond. If you're different, y"
Frontend Engineer (Fulltime/No Telecommute),https://sfbay.craigslist.org/sfc/sof/d/frontend-engineer-fulltime-no/6626543534.html,San Francisco,Flexible depending on experience,full-time,"Founded in 2015 in San Francisco, backed by top venture capital firms, and profitable already, we help the world's leading startups and high growth companies find office spaces they love.

We believe that the future of industries like real estate will be defined by the companies that empower people with better data and improved workflows. We dive deep into complex business problems by partnering engineering, product and design with the brokers and clients who use our product daily. If you value meaningful work in a collaborative and fast-paced environment, come join us and help build the future of commercial real estate!

Here's what we're looking for:
A Front End engineer with expertise in developing modern web applications
Proven ability to deliver delightful, engaging end-user experiences
Skilled independent contributor and team player
Experienced collaborator in cross-functional engineering, product and design teams
A vocal participant in the product-development process
2+ years experience working at start-ups or in other fast-paced environments

Here's what we can offer:
Working fast and making an impact. Ship your first feature within the first week!
Build products for your colleagues and our clients, and iterate quickly based on feedback  
Opportunities to contribute solutions to complex problems related to our business, brand, design and culture
Make a huge impact on a small team as the third engineering hire
We're profitable and growing fast -- and fun, too!

Here are the technologies you'll be using:
Javascript, ES6, React, Apollo, Sass
Python, Django, Graphene
AWS, Linux, Nginx, MySQL

About Us
We are a modern commercial real estate brokerage on a mission to make the search for office space seamless and intelligent. By empowering expert brokers with innovative technology, we turn the painful traditional process of searching for office space into a faster and more collaborative experience."
